,City,Country,Date,Temperature,Humidity,Wind Speed
0,Tirana,Albania,2023-02-22 18:00:00,11.12,74,0.89
1,Tirana,Albania,2023-02-22 21:00:00,10.3,78,0.74
2,Tirana,Albania,2023-02-23 00:00:00,9.11,83,0.57
3,Tirana,Albania,2023-02-23 03:00:00,8.56,85,0.9
4,Tirana,Albania,2023-02-23 06:00:00,8.99,82,1.07
5,Tirana,Albania,2023-02-23 09:00:00,13.06,66,0.97
6,Tirana,Albania,2023-02-23 12:00:00,14.99,59,2.03
7,Tirana,Albania,2023-02-23 15:00:00,14.13,68,1.78
8,Tirana,Albania,2023-02-23 18:00:00,10.65,87,0.56
9,Tirana,Albania,2023-02-23 21:00:00,9.82,88,1.08
10,Tirana,Albania,2023-02-24 00:00:00,9.14,88,0.72
11,Tirana,Albania,2023-02-24 03:00:00,8.75,88,1.51
12,Tirana,Albania,2023-02-24 06:00:00,8.91,84,1.59
13,Tirana,Albania,2023-02-24 09:00:00,13.97,64,1.44
14,Tirana,Albania,2023-02-24 12:00:00,15.9,58,2.63
15,Tirana,Albania,2023-02-24 15:00:00,14.45,69,2.5
16,Tirana,Albania,2023-02-24 18:00:00,11.06,90,1.09
17,Tirana,Albania,2023-02-24 21:00:00,10.4,91,0.95
18,Tirana,Albania,2023-02-25 00:00:00,10.02,86,1.73
19,Tirana,Albania,2023-02-25 03:00:00,10.28,82,1.91
20,Tirana,Albania,2023-02-25 06:00:00,10.58,74,2.24
21,Tirana,Albania,2023-02-25 09:00:00,16.28,47,3.51
22,Tirana,Albania,2023-02-25 12:00:00,17.97,44,5.26
23,Tirana,Albania,2023-02-25 15:00:00,16.78,53,3.86
24,Tirana,Albania,2023-02-25 18:00:00,13.74,59,2.72
25,Tirana,Albania,2023-02-25 21:00:00,13.03,55,3.9
26,Tirana,Albania,2023-02-26 00:00:00,12.89,60,2.91
27,Tirana,Albania,2023-02-26 03:00:00,12.77,61,2.41
28,Tirana,Albania,2023-02-26 06:00:00,12.08,66,2.25
29,Tirana,Albania,2023-02-26 09:00:00,15.98,54,5.19
30,Tirana,Albania,2023-02-26 12:00:00,12.97,79,3.41
31,Tirana,Albania,2023-02-26 15:00:00,14.22,80,4.48
32,Tirana,Albania,2023-02-26 18:00:00,11.99,88,3.28
33,Tirana,Albania,2023-02-26 21:00:00,10.67,92,2.59
34,Tirana,Albania,2023-02-27 00:00:00,11.04,86,2.12
35,Tirana,Albania,2023-02-27 03:00:00,9.85,81,1.98
36,Tirana,Albania,2023-02-27 06:00:00,10.09,78,1.67
37,Tirana,Albania,2023-02-27 09:00:00,14.96,59,1.15
